Satellite Name,Time (UTC),Latitude,Longitude,Altitude (m)
STARLINK-1008,2026-01-04T08:38:41Z,-51.89510877251792,175.33055062954347,566009.8426951146
STARLINK-1008,2026-01-04T08:48:41Z,-32.23045131503678,-142.84800947880544,558636.9076380249
STARLINK-1008,2026-01-04T08:58:41Z,-3.215773315277189,-119.66004839543228,550640.5795998886
STARLINK-1008,2026-01-04T09:08:41Z,26.442593765473273,-97.95336189150123,550861.6760445227
STARLINK-1008,2026-01-04T09:18:41Z,49.395472160649724,-61.58193578249846,555393.7154624151
STARLINK-1008,2026-01-04T09:28:41Z,49.20180313776634,-4.921870420903552,554941.9370379862
STARLINK-1008,2026-01-04T09:38:41Z,26.070488518987624,31.132218447850356,549759.0252729588
STARLINK-1008,2026-01-04T09:48:41Z,-3.626823257934047,52.77542680012807,549449.6618319299
STARLINK-1008,2026-01-04T09:58:41Z,-32.599583372783684,76.09474883816652,557841.5677477411
STARLINK-1008,2026-01-04T10:08:41Z,-52.019333273713656,118.30847955370976,565826.7527860523
STARLINK-1008,2026-01-04T10:18:41Z,-45.36217830748238,173.20612680235087,563635.9757560019
STARLINK-1008,2026-01-04T10:28:41Z,-19.829011188199694,-155.73966841779134,554417.3542471206
STARLINK-1008,2026-01-04T10:38:41Z,10.167725794824936,-134.9231906969859,549644.4178810451
STARLINK-1008,2026-01-04T10:48:41Z,38.158884347028796,-109.17749568867892,552961.700615721
STARLINK-1008,2026-01-04T10:58:41Z,53.16483517854573,-60.875482425548924,556121.3888326504
STARLINK-1008,2026-01-04T11:08:41Z,40.56241164359875,-10.051245435654566,552737.8922708078
STARLINK-1008,2026-01-04T11:18:41Z,13.179107242515197,17.129888645594477,548484.0212567883
STARLINK-1008,2026-01-04T11:28:41Z,-16.891899361300528,37.805547098717334,552401.2196435607
STARLINK-1008,2026-01-04T11:38:41Z,-43.31220758466652,66.97770386775923,562207.0239646974
STARLINK-1008,2026-01-04T11:48:41Z,-52.72820518680039,120.24963932913134,566273.5811591722
STARLINK-1008,2026-01-04T11:58:41Z,-35.207498192174164,165.2113010228767,559747.210725684
STARLINK-1008,2026-01-04T12:08:41Z,-6.661509441692199,-170.48495683654852,551199.8291003563
STARLINK-1008,2026-01-04T12:18:41Z,23.207202272288725,-149.30873047201447,550433.5432008217
STARLINK-1008,2026-01-04T12:28:41Z,47.5652583348128,-115.6580528323412,554999.6746396424
STARLINK-1008,2026-01-04T12:38:41Z,50.75296220047328,-59.36332512723919,555367.3903521089
